id,name,game_type,elo_rating,generation,parent_a,parent_b,wins,losses,draws,StartQueenBee.in_play_weight,EndQueenBee.in_play_weight,StartQueenBee.is_pinned_weight,EndQueenBee.is_pinned_weight,StartQueenBee.is_covered_weight,EndQueenBee.is_covered_weight,StartQueenBee.noisy_move_weight,EndQueenBee.noisy_move_weight,StartQueenBee.quiet_move_weight,EndQueenBee.quiet_move_weight,StartQueenBee.friendly_neighbour_weight,EndQueenBee.friendly_neighbour_weight,StartQueenBee.enemy_neighbour_weight,EndQueenBee.enemy_neighbour_weight,StartSpider.in_play_weight,EndSpider.in_play_weight,StartSpider.is_pinned_weight,EndSpider.is_pinned_weight,StartSpider.is_covered_weight,EndSpider.is_covered_weight,StartSpider.noisy_move_weight,EndSpider.noisy_move_weight,StartSpider.quiet_move_weight,EndSpider.quiet_move_weight,StartSpider.friendly_neighbour_weight,EndSpider.friendly_neighbour_weight,StartSpider.enemy_neighbour_weight,EndSpider.enemy_neighbour_weight,StartBeetle.in_play_weight,EndBeetle.in_play_weight,StartBeetle.is_pinned_weight,EndBeetle.is_pinned_weight,StartBeetle.is_covered_weight,EndBeetle.is_covered_weight,StartBeetle.noisy_move_weight,EndBeetle.noisy_move_weight,StartBeetle.quiet_move_weight,EndBeetle.quiet_move_weight,StartBeetle.friendly_neighbour_weight,EndBeetle.friendly_neighbour_weight,StartBeetle.enemy_neighbour_weight,EndBeetle.enemy_neighbour_weight,StartGrasshopper.in_play_weight,EndGrasshopper.in_play_weight,StartGrasshopper.is_pinned_weight,EndGrasshopper.is_pinned_weight,StartGrasshopper.is_covered_weight,EndGrasshopper.is_covered_weight,StartGrasshopper.noisy_move_weight,EndGrasshopper.noisy_move_weight,StartGrasshopper.quiet_move_weight,EndGrasshopper.quiet_move_weight,StartGrasshopper.friendly_neighbour_weight,EndGrasshopper.friendly_neighbour_weight,StartGrasshopper.enemy_neighbour_weight,EndGrasshopper.enemy_neighbour_weight,StartSoldierAnt.in_play_weight,EndSoldierAnt.in_play_weight,StartSoldierAnt.is_pinned_weight,EndSoldierAnt.is_pinned_weight,StartSoldierAnt.is_covered_weight,EndSoldierAnt.is_covered_weight,StartSoldierAnt.noisy_move_weight,EndSoldierAnt.noisy_move_weight,StartSoldierAnt.quiet_move_weight,EndSoldierAnt.quiet_move_weight,StartSoldierAnt.friendly_neighbour_weight,EndSoldierAnt.friendly_neighbour_weight,StartSoldierAnt.enemy_neighbour_weight,EndSoldierAnt.enemy_neighbour_weight
50e0b5e8-5855-427e-9039-03b11b74087c,Nahimbaita,Original,1106,0,,,0,4,3,-97.86,-74.05, -3.22, 70.81,-12.44,  4.17, -5.35, 47.90, 32.22,100.00,-32.71,-74.55, 92.49,-78.99, -7.25,-72.03, -9.39,-29.55, 80.45,-90.61, -5.26,  5.31, 14.50,-82.27,-93.47, 44.36,-83.52, 69.40,  6.39,-98.01, 45.71, 80.92, 90.97, 24.77,  5.99,  3.35, 73.53, -6.12,-50.25,-81.23,-46.54, 81.83, -9.73,-52.08,-76.43, -4.39, 69.54,-65.84,-92.41,-31.65,-11.16, 64.76, 95.30, -5.74,-100.00, 77.12, 69.12,-35.06, 14.73, 47.72,-48.04,-21.12,-34.99,-65.12,-10.50,-59.34, 51.61, 48.96, 29.59, 88.91
4aa45a3b-e422-4b8c-abdc-f89d36777cc3,Molishani,Original,1130,0,,,0,3,3,-58.48, 13.95, 72.13,100.00, 69.60,-62.96,-15.63,  4.41, 19.74, 63.34,-38.80, 21.86,-87.86,-69.68,-93.19,-97.54,  5.27, 92.30,-59.08, 35.69,-71.15,-63.34, -8.38, 27.55,-51.42,-39.54, 37.80,-17.97, 70.54,-10.97,-37.61, 19.21,  1.13,-26.26,-63.68,-85.74,-15.52, 91.45,100.00, 95.24, 94.65, 91.84, 24.34, 21.44,-12.54,-30.36, 11.16, 50.87, 92.51,-32.55,-57.91, 11.43, 87.90,-37.81,-94.55, 89.96, 50.09,-58.51, 51.27, 81.15,-43.98, 57.53, 49.72,-41.79, 90.76, 26.68, 43.57, -7.22,-24.49,-87.13
6d79d1b5-43d2-4016-af88-ab1e78045bda,Fubakwaita,Original,1165,0,4aa45a3b-e422-4b8c-abdc-f89d36777cc3,50e0b5e8-5855-427e-9039-03b11b74087c,0,1,0,-82.57,-34.05, 36.21, 96.75, 31.21,-32.08,-11.00, 30.93, 27.24, 95.41,-38.63,-30.05,  2.41,-84.67,-54.56,-100.00, -2.15, 36.96, 11.10,-32.02,-41.06,-32.89,  3.25,-30.83,-75.35,  2.88,-24.78, 30.76, 39.41,-64.46,  4.47, 59.39, 46.39, -0.83,-30.97,-46.77, 29.84, 49.48, 25.73,  7.61, 25.79, 94.65,  7.97,-17.29,-45.94,-18.97, 41.16, -8.31,  0.05,-38.13,-35.67, 41.58, 94.04,-25.53,-100.00, 96.01, 63.37,-52.99, 35.98, 70.46,-46.25, 20.12,  8.04,-59.64, 42.09,-19.43, 51.95, 22.80,  2.79,  0.98
52c81da2-0f0f-41b1-bf95-32f1881401d7,Nakiji,Original,1165,0,,,0,1,1,-51.11,-72.85,-38.36, 58.82,-100.00,100.00,-82.12, 64.27, 49.60, 69.55,-38.12,-44.63,-56.53,-37.19, 20.63, 66.44,-15.20,-17.95, 59.39, 66.04, 52.73, 89.33, 75.72,-53.20, 75.80, 43.77, 17.70,-13.22, 79.34, 65.90, 40.18, 42.22,-56.28,-89.00, 93.00, 80.97,-62.32,-99.43, 75.60, -9.34,-58.09, -4.06, 80.18, 60.01,-44.43, 29.15, 65.18, 46.42,-45.08, 65.36, 93.25,-31.30,-84.41,-44.58, 40.15,-81.29,-72.72,-95.91, 51.10,-97.69, 70.91,-95.86, 57.49,-28.21,-27.07,-47.63, 88.76, 62.24, 72.41, 32.94
aa6140b1-d848-46b6-9bce-524a61dfe6ad,Molila,Original,1189,0,,,0,1,10,-43.59, 18.74, 16.23, 57.03, 32.27, 45.87, 32.33, 45.17,-43.58, 97.19,-52.55,-83.06, 67.62,-48.74,-38.11, 60.28, 59.27, 34.35,-98.28,-34.37, 65.56,-75.26,100.00,-71.42, 36.46, 50.21, 87.77, 52.68, -0.79, 94.96,  0.08, -2.91, 52.63,-100.00,  0.41,-51.04,-11.39, 12.12,-18.64, 17.92, 73.57,-48.75,-50.47,-76.31,-86.93,-43.55,-28.46, 58.08, 95.68, 90.76,-81.58, 57.74,-44.85, 83.56,-59.46,  8.61, 33.87,-89.20, -3.35, 95.14, 59.27, 43.16, 59.73,-28.16,-84.43, 27.36, 90.29,-14.32, 73.18, 94.33
8439d292-78e0-4270-be66-2936004e1fa8,Jelimbaita,Original,1198,0,,,0,0,3,  4.34,-91.12, 33.16, 29.92, 52.61,  0.99, 85.56,-10.43, 84.56, 44.54,-36.39,-28.94, 74.18, 95.18, 60.66,-68.89, 85.68,-61.20,-41.62,-60.40, 26.52, 82.91, 93.92,-66.10,-73.78,-37.35, 94.18,-17.90,  9.93,-62.70, 13.63,-32.25,-84.00,-12.91, 97.72, 96.67,-78.64, 89.88, 54.99, 98.47,-15.99, 52.21,-94.14, 41.36, 13.38, -0.03,-71.77,-91.54, 44.30,-100.00, 49.95, 26.10, 96.39, 41.61, 70.01, -3.21, 15.85, 19.87,-100.00, 59.67, -9.51,-41.41, 88.73, 68.06, 56.47,-29.91, 36.88, 79.44,-52.43, 28.71
ead8ef7e-1613-4069-961b-dcd578853296,Jelikwaji,Original,1199,0,,,0,0,2,  5.30, 25.04,-18.85,-81.93,-79.70, 47.27,-63.86,-44.68, 58.96,  3.27, 27.02,-34.74, 58.13,-75.38, 10.00,-18.86,-38.63,-100.00,-30.78,-61.34,-26.94,-21.86, 37.24, 72.39, 56.80,-50.90, 72.50,  4.98, 20.32, 28.44,-26.37,-73.32,100.00,-93.31,-72.40, 45.84, -5.81, 55.27,-84.85, -3.39,  5.58,-68.00, 92.12,  5.46, 95.64,-83.21, 77.10, -7.31,-33.94,-81.33,-81.63,-85.45, 16.07,-76.05,-43.51, 11.18, 71.77,-10.79,-86.81, -6.06, 10.46,-20.60,-88.33, 83.39, 89.89,-91.00, 72.75, 44.62, 11.17,-80.34
0e63d18e-7426-492d-a30e-45ce63090c6a,Kihane,Original,1200,0,6d79d1b5-43d2-4016-af88-ab1e78045bda,8439d292-78e0-4270-be66-2936004e1fa8,0,0,0,-42.43,-75.22, 37.13, 74.22, 47.42,-17.98, 38.98, 11.55, 61.79, 77.31,-39.26,-33.92, 42.98,  6.01,  3.21,-100.00, 45.90,-14.28,-16.72,-50.86, -7.52, 29.78, 51.42,-53.77,-77.66,-19.84, 36.53,  7.51, 27.19,-72.30,  9.74, 15.22,-19.95, -7.79, 37.36, 28.97,-26.25, 82.64, 43.59, 62.03,  5.34, 81.89,-44.62, 13.92,-17.32,-11.31,-16.26,-58.16, 23.29,-76.61,  7.44, 39.98,100.00,  9.36,-16.05, 54.51, 42.89,-18.21,-34.81, 73.78,-31.18,-11.74, 50.87,  4.74, 55.10,-27.42, 47.22, 59.83,-26.51, 17.93
d861e423-3172-4ff1-8212-e5a91a61991e,Ihala,Original,1200,0,,,0,0,2, 89.06, 91.29,-30.22, 81.72, -1.88, 76.49, 96.71, 46.57, 52.17, 22.98, 35.09, 42.89, 70.65, -8.69, 76.13,-93.35, 94.52, 80.40,-58.03, 88.03,-36.20, 67.35,  6.76,-60.87,100.00,-29.00, 66.38,-61.22, 56.22,-94.82, -1.26, 10.90,-81.83, -7.76,-41.61, 73.22, 33.69,-26.88, 28.73,  1.71, 70.15,-10.79,-18.47,-88.15,-72.11, 76.27, 50.50, 12.81, 93.57, 53.13,  0.59, 12.50,-20.72,-69.50, 33.73,-42.39, 87.81,-39.85, 55.96,-62.17,-41.10,-50.05,-32.81,-49.40,-99.19,-100.00, 94.49, 75.28,-58.05, 66.93
95138f4e-8101-4f71-904a-7485028dc2fb,Kimane,Original,1200,0,ead8ef7e-1613-4069-961b-dcd578853296,50e0b5e8-5855-427e-9039-03b11b74087c,0,0,0,-48.95,-29.81,-11.35, -6.92,-48.49, 33.09,-38.39,  1.94, 47.87, 65.34, -3.13,-68.27, 79.15,-100.00,  1.42,-59.93,-26.46,-80.74, 26.31,-96.05,-17.19,-10.89, 28.17, -6.33,-19.59, -4.16, -5.67, 47.82, 14.40,-45.86, 10.40,  4.75,100.00,-43.36,-35.63, 30.47, 35.96, 29.82,-70.25,-50.93,-21.06,  8.70, 42.63,-29.71,  9.88,-57.64, 74.91,-45.13,-65.56,-74.42,-47.89,-12.54, 58.74,-49.18,-73.18, 57.29, 75.80,-29.67,-39.66, 25.96,-20.71,-25.53,-65.82, 11.25, 40.98,-92.75, 69.65, 60.24, 22.82,  5.20
